fm_id,link,project_fm_id,import
4273,https://books.google.be/books?id=H_JgAAAAcAAJ,31,Imported from 20230728_Alma_Caa_all.xml
4273,https://books.google.be/books?id=JPJgAAAAcAAJ,31,Imported from 20230728_Alma_Caa_all.xml
4274,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10776970-7,23,Imported from 20230728_Alma_Caa_all.xml
4275,https://lib.ugent.be/catalog/bkt01:000393312,22,Imported from 20230728_Alma_Caa_all.xml
4277,http://lib.ugent.be/catalog/bkt01:000410767,22,Imported from 20230728_Alma_Caa_all.xml
4278,https://books.google.be/books?id=8dk6S4Q2oEYC,32,Imported from 20230728_Alma_Caa_all.xml
4280,http://anet.be/record/stcv/stcvopac/c:stcv:7057719,18,Imported from 20230728_Alma_Caa_all.xml
4281,https://www.ustc.ac.uk/editions/414120,17,Imported from 20230728_Alma_Caa_all.xml
4282,https://books.google.be/books?id=j5NZAAAAcAAJ,33,Imported from 20230728_Alma_Caa_all.xml
4282,http://picarta.pica.nl/xslt/DB=3.11/XMLPRS=Y/PPN?PPN=202741451,,Imported from 20230728_Alma_Caa_all.xml
4283,https://books.google.be/books?id=Lf1YAAAAcAAJ,33,Imported from 20230728_Alma_Caa_all.xml
4283,http://picarta.pica.nl/xslt/DB=3.11/XMLPRS=Y/PPN?PPN=184365961,,Imported from 20230728_Alma_Caa_all.xml
4284,https://anet.be/record/stcvopac/c:stcv:7029515/N,18,Imported from 20230728_Alma_Caa_all.xml
4285,https://books.google.be/books?id=gd2B_RmRTW8C,47,Imported from 20230728_Alma_Caa_all.xml
4285,https://anet.be/record/stcvopac/c:stcv:7030822/N,18,Imported from 20230728_Alma_Caa_all.xml
4287,https://lib.ugent.be/catalog/rug01:001727786,22,Imported from 20230728_Alma_Caa_all.xml
4288,https://www.digitale-sammlungen.de/en/view/bsb10352225,23,Imported from 20230728_Alma_Caa_all.xml
4288,http://anet.be/record/stcv/stcvopac/c:stcv:6629395,18,Imported from 20230728_Alma_Caa_all.xml
4289,https://books.google.be/books?id=fQ4NTrr5N6YC,48,Imported from 20230728_Alma_Caa_all.xml
4289,http://anet.be/record/stcv/stcvopac/c:stcv:12914423,18,Imported from 20230728_Alma_Caa_all.xml
4290,https://www.digitale-sammlungen.de/en/view/bsb10352230,23,Imported from 20230728_Alma_Caa_all.xml
4290,http://anet.be/record/stcv/stcvopac/c:stcv:12914427,18,Imported from 20230728_Alma_Caa_all.xml
4291,https://www.ustc.ac.uk/editions/402515,17,Imported from 20230728_Alma_Caa_all.xml
4291,https://books.google.be/books?id=eYyGsX2LFTkC,34,Imported from 20230728_Alma_Caa_all.xml
4291,https://www.digitale-sammlungen.de/en/view/bsb10151675,23,Imported from 20230728_Alma_Caa_all.xml
4292,http://gso.gbv.de/DB=1.28/XMLPRS=Y/PPN?PPN=0001141570,24,Imported from 20230728_Alma_Caa_all.xml
4293,https://books.google.be/books?id=OxJmAAAAcAAJ,49,Imported from 20230728_Alma_Caa_all.xml
4293,https://anet.be/record/stcvopac/c:stcv:12914433/N,18,Imported from 20230728_Alma_Caa_all.xml
4294,http://hdl.handle.net/2027/ucm.532666023x,34,Imported from 20230728_Alma_Caa_all.xml
4294,http://anet.be/record/stcv/stcvopac/c:stcv:7064256,18,Imported from 20230728_Alma_Caa_all.xml
4295,https://books.google.be/books?id=9K1l8CmIrc8C,50,Imported from 20230728_Alma_Caa_all.xml
4296,http://anet.be/record/stcv/stcvopac/c:stcv:6860034,18,Imported from 20230728_Alma_Caa_all.xml
4297,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb11067662-1,23,Imported from 20230728_Alma_Caa_all.xml
4297,http://anet.be/record/stcv/stcvopac/c:stcv:12914011,18,Imported from 20230728_Alma_Caa_all.xml
4298,http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb11067663-6,23,Imported from 20230728_Alma_Caa_all.xml
4298,http://anet.be/record/stcv/stcvopac/c:stcv:6936206,18,Imported from 20230728_Alma_Caa_all.xml
4299,http://anet.be/record/stcv/stcvopac/c:stcv:6830165,18,Imported from 20230728_Alma_Caa_all.xml
4299,https://lib.ugent.be/en/catalog?q=%28bkt01%29000088928,22,Imported from 20230728_Alma_Caa_all.xml
