"4622","0","Camberlyn"
"4623","0","Camoiier"
"4624","0","Campbell"
"4625","0","Cannaert"
"4626","0","Canoy"
"4627","0","Cardon"
"4628","0","Carion"
"4629","0","Carlier"
"4630","2363","Carolij"
"4631","0","Carpentier"
"4632","0","Casaquij"
"4633","0","Cassidij"
"4634","0","Cassiers"
"4635","0","Casteau"
"4636","0","Castelyn"
"4637","0","Castelyns"
"4638","0","Castricque"
"4639","0","Caters"
"4640","0","Cattier"
"4641","0","Ceelen"
"4642","0","Celraedt"
"4643","0","Ceulemans"
"4644","0","Chandels"
"4645","0","Charle"
"4646","0","Charlier"
"4647","0","Charlot"
"4648","0","Chedeville"
"4649","0","Chevalier"
"4650","0","Christians"
"4651","0","Claes"
"4652","0","Claessens"
"4653","0","Claeys"
"4654","0","Claisse"
"4655","0","Clerinx"
"4656","0","Clerx"
"4657","0","Cloquet"
"4658","0","Close"
"4659","0","Cogels"
"4660","0","Cogly"
"4661","0","Cogniaux"
"4662","0","Coleman"
"4663","0","Colen"
"4664","0","Colinet"
"4665","0","Collaes"
"4666","0","Collart"
"4667","0","Collette"
"4668","0","Collier"
"4669","0","Collin"
"4670","0","Colmant"
"4671","0","Colson"
"4672","0","Comens"
"4673","0","Congrij"
"4674","0","Conollij"
"4676","0","Cools"
"4677","0","Coomans"
"4678","0","Cooppal"
"4679","2279","Coppens"
"4680","0","Coppieters"
"4682","0","Cordemans"
"4683","0","Corignan"
"4684","0","Corne"
"4685","0","Cornil"
"4686","0","Corroyer"
"4687","0","Corten"
"4688","0","Corthals"
"4689","2305","Corthout"
"4690","0","Corvers"
"4691","0","Cosée"
"4692","0","Costerius"
"4693","0","Coucke"
"4694","0","Courtehoux"
"4695","0","Coussement"
"4696","0","Couture"
"4697","0","Couvreur"
"4698","0","Crahay"
"4699","0","Craninx"
"4700","0","Craveau"
"4701","0","Crean"
"4702","0","Crepin"
"4703","0","Crinon"
"4704","0","Criquilion"
"4705","0","Crispin"
"4706","0","Crokaert"
"4707","0","Cruppe"
"4708","0","Cullen"
"4709","0","Curtillet"
"4710","0","Cuvelier"
"4711","0","Cuveliez"
"4712","0","D'Allecourt"
"4713","0","D'Amprez"
"4714","0","d'Aubresse"
"4715","0","d'Haene"
"4716","0","D'Hont"
"4717","0","d'Hoogh"
"4718","0","D'Unger"
"4719","0","Da Lattre"
"4720","0","Damen"
"4721","0","Damman"
"4722","0","Danis"
"4723","0","Dave"
"4724","0","De Backer"
"4725","0","de Baetselier"
"4726","0","de Bagenrieux"
"4727","0","de Banque"
"4728","0","De Basserode"
"4729","0","de Bavay"
"4730","0","De Baze"
"4731","0","De Beaumont"
"4732","0","de Becker"
"4733","0","de Beeckman"
"4735","0","De Beelen"
"4736","0","de Behault"
"4737","0","De Bels"
"4738","0","de Beriot"
"4740","0","de Bettignies"
"4741","0","De Biseau"
"4742","0","De Blaive"
"4743","0","de Blondel"
"4745","0","De Bock"
"4746","0","de Boeck"
"4747","0","De Bont"
"4748","0","de Borgies"
"4749","0","de Brabandere"
"4750","0","de Brabant"
"4751","0","De Bree"
"4752","0","De Bridt"
"4753","0","De Brier"
