tag_001,IE PID,value,url
9977313230101488,IE4976399,https://lib.is/IE4976399/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/343
9977344860101488,IE4923148,https://lib.is/IE4923148/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/40
9977348230101488,IE10715063,https://lib.is/IE10715063/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/346
9977348420101488,IE4996461,https://lib.is/IE4996461/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/352
9977372040101488,IE5009600,https://lib.is/IE5009600/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/355
9977373610101488,IE5010417,https://lib.is/IE5010417/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/895
9977402560101488,IE10707743,https://lib.is/IE10707743/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1066
9977403690101488,IE10708619,https://lib.is/IE10708619/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/103
9977413430101488,IE10709603,https://lib.is/IE10709603/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1075
9977426430101488,IE5013965,https://lib.is/IE5013965/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/358
9977438160101488,IE10712513,https://lib.is/IE10712513/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/361
9977438360101488,IE10711823,https://lib.is/IE10711823/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/400
9977440210101488,IE4990089,https://lib.is/IE4990089/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/364
9977449110101488,IE5003416,https://lib.is/IE5003416/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/367
9977468650101488,IE5005938,https://lib.is/IE5005938/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/49
9977481560101488,IE5014908,https://lib.is/IE5014908/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/370
9977504050101488,IE10579537,https://lib.is/IE10579537/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/145
9977521810101488,IE5090549,https://lib.is/IE5090549/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/373
9977549140101488,IE4987988,https://lib.is/IE4987988/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/376
9977567710101488,IE10710203,https://lib.is/IE10710203/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/379
9977590330101488,IE5002713,https://lib.is/IE5002713/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/382
9977608360101488,IE5086880,https://lib.is/IE5086880/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/139
9977620970101488,IE5091702,https://lib.is/IE5091702/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/385
9977638180101488,IE5087871,https://lib.is/IE5087871/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/136
9977654930101488,IE5089462,https://lib.is/IE5089462/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/115
9977672720101488,IE5094345,https://lib.is/IE5094345/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/388
9977675380101488,IE5093257,https://lib.is/IE5093257/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/391
9977686300101488,IE5093720,https://lib.is/IE5093720/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/394
9977689530101488,IE10580587,https://lib.is/IE10580587/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/148
9977710810101488,IE10710643,https://lib.is/IE10710643/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/397
9977720580101488,IE5160691,https://lib.is/IE5160691/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/403
9977731120101488,IE5162309,https://lib.is/IE5162309/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/406
9977739730101488,IE5165233,https://lib.is/IE5165233/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/409
9977764740101488,IE5169069,https://lib.is/IE5169069/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/415
9977783060101488,IE5011372,https://lib.is/IE5011372/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/421
9977786480101488,IE5162847,https://lib.is/IE5162847/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/424
9977803120101488,IE5094986,https://lib.is/IE5094986/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/109
9978955270101488,IE5155161,https://lib.is/IE5155161/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/118
9978968940101488,IE5167313,https://lib.is/IE5167313/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/427
9978977230101488,IE10582812,https://lib.is/IE10582812/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/433
9978981200101488,IE5100454,https://lib.is/IE5100454/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/436
9978990300101488,IE5102492,https://lib.is/IE5102492/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/439
9979601780101488,IE5103492,https://lib.is/IE5103492/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/442
9979740960101488,IE5104204,https://lib.is/IE5104204/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/445
9979742740101488,IE5107612,https://lib.is/IE5107612/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/448
9979901050101488,IE5154323,https://lib.is/IE5154323/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/451
9979902360101488,IE9586277,https://lib.is/IE9586277/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/952
9979911060101488,IE5106066,https://lib.is/IE5106066/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/454
9979915920101488,IE5105228,https://lib.is/IE5105228/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/457
9979944780101488,IE5221339,https://lib.is/IE5221339/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/460
9979964850101488,IE5109346,https://lib.is/IE5109346/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/61
9979967470101488,IE5282976,https://lib.is/IE5282976/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/463
9979974500101488,IE9585713,https://lib.is/IE9585713/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/967
9979975230101488,IE9587615,https://lib.is/IE9587615/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/970
9979976860101488,IE5283974,https://lib.is/IE5283974/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/466
9979977170101488,IE5283394,https://lib.is/IE5283394/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/469
9979977270101488,IE9588245,https://lib.is/IE9588245/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/964
9979979380101488,IE9588587,https://lib.is/IE9588587/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/973
9979980370101488,IE9589349,https://lib.is/IE9589349/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/976
9979988900101488,IE9590417,https://lib.is/IE9590417/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/961
9979991410101488,IE9591155,https://lib.is/IE9591155/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/979
9979994270101488,IE9594235,https://lib.is/IE9594235/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/982
9979996150101488,IE9594871,https://lib.is/IE9594871/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/985
9980006270101488,IE5337182,https://lib.is/IE5337182/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/478
9980008520101488,IE9595675,https://lib.is/IE9595675/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/988
9980010920101488,IE9596569,https://lib.is/IE9596569/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/991
9980013690101488,IE9597157,https://lib.is/IE9597157/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/994
9980015510101488,IE9597475,https://lib.is/IE9597475/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/997
9980025940101488,IE9598423,https://lib.is/IE9598423/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1000
9992225666501488,IE8877106,https://lib.is/IE8877106/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1533
9992225787101488,IE8956414,https://lib.is/IE8956414/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1542
9992225788701488,IE8881846,https://lib.is/IE8881846/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1539
9992225794601488,IE8882644,https://lib.is/IE8882644/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1536
9992227193601488,IE8958856,https://lib.is/IE8958856/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1545
9992227501701488,IE8961799,https://lib.is/IE8961799/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1485
9992228007701488,IE8964870,https://lib.is/IE8964870/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1488
9992228088701488,IE8887522,https://lib.is/IE8887522/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1506
9992228090401488,IE8886382,https://lib.is/IE8886382/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1503
9992228103501488,IE8963766,https://lib.is/IE8963766/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1494
9992228433301488,IE8890846,https://lib.is/IE8890846/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1449
9992228435401488,IE8889454,https://lib.is/IE8889454/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1512
9992228440101488,IE8888656,https://lib.is/IE8888656/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1509
9992228503301488,IE8962663,https://lib.is/IE8962663/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1491
9992228573401488,IE8885098,https://lib.is/IE8885098/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1500
9992228576901488,IE8966982,https://lib.is/IE8966982/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1497
9992229308001488,IE8890222,https://lib.is/IE8890222/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1455
9992229309201488,IE8889874,https://lib.is/IE8889874/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1452
9992229609401488,IE8893708,https://lib.is/IE8893708/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1461
9992229610001488,IE8892622,https://lib.is/IE8892622/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1458
9992238364601488,IE8980583,https://lib.is/IE8980583/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1464
9992238550601488,IE8982245,https://lib.is/IE8982245/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1470
9992238865401488,IE8988728,https://lib.is/IE8988728/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1422
9992238872201488,IE8988314,https://lib.is/IE8988314/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1419
9992238965901488,IE8989424,https://lib.is/IE8989424/manifest,https://www.kuleuven.be/lectio/magisterdixit/items/show/1425
