"descriptor","place_id_fk"
"Abberdoniensis","9096"
"Abbirdonensis","9096"
"Abblaterdamensis","770"
"Abbordinensis","9096"
"Abbordonensis","9096"
"Abcoudanus","777"
"Abcoundanus","777"
"Abdoncanus","773"
"Abeanus","774"
"Abensis","775"
"Aberdanensis","9096"
"Aberdinensis","9096"
"Aberdonensis","776"
"Aberdoniensis","776"
"Aberdunensis","9096"
"Abirdonensis","9096"
"Aboensis","0"
"Abolensis","778"
"Aboliensis","778"
"Abordanensis","9096"
"Abordinensis","9096"
"Abordonensis","0"
"Abordoniensis","9096"
"Abreciniensis","779"
"Abredunensis","0"
"Abremensis","780"
"Abremiensis","781"
"Abreniensis","782"
"Abridonensis","783"
"Abrive","784"
"Abulensis","0"
"Abusiacus","3302"
"Accellanus","1180"
"Acchel","10"
"Acciniensis","785"
"Accren","160"
"Accriniensis","160"
"Acesianus","786"
"Acghendensis","9"
"Achaine","787"
"Achel","10"
"Achelen","10"
"Achelensis","10"
"Achensis","788"
"Achranensis","790"
"Ackensis","791"
"Ackeren","160"
"Ackerslotanus","838"
"Ackianus","792"
"Acklen","10"
"Aclensis","793"
"Acoensis","794"
"Acomiensis","795"
"Acos","796"
"Acrene","160"
"Acrene Sancti Gerconis","160"
"Acrene Sancti Martini","160"
"Acreniensis","160"
"Acrenne","160"
"Acrenne majori","160"
"Acrenne Sancti Martini","160"
"Acrinensis","160"
"Acrinia","160"
"Acrinienses","160"
"Acriniensis","160"
"Acrinnensis","160"
"Acrniensis","160"
"Acrom","839"
"ad Anniam","0"
"ad Antwerpiam","26"
"ad Episcopum Audomeropolitanum qua talem et praepositum Watenensem simul","0"
"ad Gandam","225"
"ad Haniam","0"
"ad Leodium","392"
"ad provinciam Limburgensem","377"
"ad Sabim","0"
"ad Schaldim","7349"
"ad Slechten","7568"
"ad Tornacum","168"
"ad Trajectum","0"
"ad Walcuriam","8595"
"Ada","798"
"Adegelij","799"
"Adeghem","800"
"Adelgem","800"
"Aden","801"
"Adenhout","632"
"Adighen","800"
"Admertanensis","802"
"Adorp","803"
"Adorscitanus","805"
"Advennas","1169"
"Advortensius","806"
"Aecren","840"
"Aectensis","7910"
"Aelbeeck","4"
"Aelbeke","4"
"Aeldriensis","807"
"Aelensis","808"
"Aelst","5"
"Aeltere","6"
"Aelteren","6"
"Aelteres","6"
"Aeltert","6"
"Aeltre","6"
"Aercen","817"
"Aercensis","811"
"Aerd","812"
"Aerde","759"
"Aere","813"
"Aeriensis","834"
"Aerle","814"
"Aerle Rixtel","763"
"Aerlebecanus","258"
"Aerlebeek","258"
"Aerlebeeke","258"
"Aerlerixtel","763"
"Aernemensis","28"
"Aerniche","965"
"Aerschotanus","7"
"Aerschotensis","7"
"Aerschottensis","7"
"Aerscotensis","7"
"Aersscottensis","7"
"Aerth","815"
"Aertselaer","767"
"Aertselaere","767"
"Aerzeele","766"
"Aesdonck","3778"
"Aesopianus","818"
"Aesten","1104"
"Aethensis","8"
"Aeyst","268"
"Afensis","1156"
"Afferdiensis","819"
"Affleghem","820"
"Affligem","820"
"Affligemensis","820"
"Affligemiensis","820"
"Affligen","820"
"Affliginensis","820"
"Affne","822"
"Afleghem","820"
"Afniensis","821"
"Afro Treverensi","8078"
"Afschaffenburgensis","1085"
"Agecomitanus","155"
"Aggere","824"
"Aggher","825"
"Agimont","826"
"Aginnensis","827"
"Agrippinas","737"
"Agro Gruningensi","245"
"Agro Herendalensi","277"
"Agro Nivellensi","457"
"Agrunestein","828"
"Agualiensis","829"
"Aguensis","830"
"Ahtensis","8"
"Aijcuriensis","832"
"Aije","1183"
"Aijghem","753"
"Aijseau","836"
"Aijseaux","836"
"Aijwaille","36"
"Ailmarensis","833"
"Airiensis","834"
"Airsschottensis","7"
"Aische","835"
"Aiseau","836"
"Aispanus","0"
"Aixfeltdinus","837"
"Akendover","3806"
"Akerslotanus","838"
"al. Annapygi","0"
"Alardi","842"
"Albecanus","754"
"Albensis","0"
"Albergen","843"
"Albimontanus","2240"
"Albimontensis","1654"
"Albinensis","844"
"Albiripiensis","845"
"Alblacensis","846"
"Alblassenus","846"
"Alblasserdaus","846"
"Alcamarianus","865"
"Alchmarensis","865"
"Alchmarianus","865"
"Alchmariensis","865"
"Alcken","864"
"Alckensis","864"
"Alckiensis","864"
"Alckmardensis","865"
"Alckmarianus","865"
"Alckmariensis","865"
"Alcmarensis","865"
"Alcmaria","865"
"Alcmarianus","865"
"Alcmarie","865"
"Alcmariensis","865"
"Alcmerianus","865"
"Aldanensis","848"
"Aldegundensis","849"
"Aldekerka","6332"
"Aldelargensis","490"
"Alden","755"
"Alden Biesen","850"
"Aldenaedensis","490"
"Aldenaerdensis","490"
"Aldenaerensis","490"
"Aldenarden","490"
"Aldenardensis","0"
"Aldenardiensis","490"
"Aldenardo","490"
"Aldenarensis","490"
"Aldenbiessen","850"
"Aldenbize","850"
"Aldenbrissen","850"
"Aldensardensis","490"
"Aldensis","490"
"Alderheijlige Swalm","0"
"Alderhyligen","852"
"Alderlucensis","854"
"Aldernacensis","490"
"Aldernadensis","490"
"Aldernardensis","490"
"Aldernardinus","490"
"Aldernardus","490"
"Aldernensis","490"
"Aldinardensis","490"
"Aldynsis","855"
"Alecensis","856"
"Alen","251"
"Alenchenensis","858"
"Alfen","879"
"Alfensis","879"
"Alffven","879"
"Algoius","867"
"alias Fleruco","0"
"Aliensis","861"
"Alientensis","862"
"Aliniensis","863"
"Aliostensis","0"
"Alken","864"
"Alkensis","864"
"Alletensis","866"
"Allidonensis","0"
"Allignies","6341"
"Alliniensis","868"
"Allodiensis","178"
"Allodii Braniensis","178"
"Allodij Braniensis","178"
"Allostensis","5"
"Alloudi Braniensis","178"
"Allunensis","869"
"Almanus","870"
"Almarianus","865"
"Almariensis","865"
"Almensis","871"
"Almorvensis","874"
"Almsterdamensis","17"
"Alnensis","875"
"Alnetensis","1140"
"Alodio Braniensis","178"
"Aloij","878"
"Alomaniensis","877"
"Alostanus","5"
"Alostensis","5"
"Alosthonus","0"
"Alostie","5"
"Alostnus","5"
"Alperipensis","3998"
"Alphen","879"
"Alphensis","879"
"Alsata","881"
"Alsatius","881"
"Alsback","1083"
"Alsenede","30"
"Alseus","883"
"Alsmeriensis","756"
"Alsoniensis","884"
"Alst","5"
"Alstensis","885"
"Alstenvorst","886"
"Alstius","887"
"Alta Cruce","266"
"Altecruciensis","888"
"Altennardensis","490"
