264_a	n	modern_name	fm_place_id	geonames_id	wikidata_id	notes
Te Leeuwarden	3	Leeuwarden	4994			Should add coordinates etc.
Thantwerpen	3	Antwerp	26			
Tot Brvssel	3	Brussels	116			
Tot Trier	3	Trier	8080			
Tot Utrecht	3	Utrecht	635			
Venezia	3	Venice	8273			
Vesaliæ	3	Wesel	8795			
[Basel]	3	Basel	1297			
[Delft]	3	Delft	154			
[Halle]	3	Halle	252			
[Parma]	3	Parma		6540120	Q2683	
[Strasbourg]	3	Strasbourg		2826178	Q6602	
à Louvain	3	Leuven	2			
's-Hertogenbosch	2	's-Hertogenbosch		2747351	Q2766547	
A Amsterdam	2	Amsterdam	17			
A Douay	2	Douai	2729			
A Geneve	2	Geneva	3400			
A Liege	2	Liege	392			
A Lovain	2	Leuven	2			
A Malines	2	Mechelen	409			
A Trevoux	2	Trévoux		2971722	Q244565	
A Vienne	2					Could be lots of places, check
Antuerpiae	2	Antwerp	26			
Apvd inclytam Coloniam	2					Check
Arenaci	2					Arnhem maybe? Check
Argentinae	2	Strasbourg		2826178	Q6602	
Aschaffenbvrgi	2	Aschaffenburg	1085			
Athi	2					Check
Avgvstae Tavrinorvm	2	Turin		3165525	Q495	
Barcelona	2	Barcelona	1266			
Basilieae	2	Basel	1297			
Bonnæ	2	Bonn	1762			
Brixiæ	2	Brescia		6542113	Q6221	
Brunsvigae	2	Brunswick	2008			
Brussel	2	Brussels	116			
Brvgis	2	Bruges	114			
Brvgis Flandrorvm	2	Bruges	114			
Brvxellis	2	Brussels	116			
Brvxelliæ	2	Brussels	116			
Cadomi	2	Caen	2100			
Cantabrigiæ	2	Cambridge		2653941	Q350	
Colonie	2	Köln		2886242	Q365	Surprised it's not in the DB already, should check
Cosmopoli	2					Check
Dilingæ	2	Dillingen	2659			
Eerst t'Antwerpen	2	Antwerp	26			
Et prostant Bruxellis	2	Brussels	116			
Excudebat Lutetiæ	2	Paris	495			
Florentiae	2	Florence	3184			
Genevæ	2	Geneva	3400			
Gent	2	Gent	225			
Gheprent Thantwerpen	2	Antwerp	26			
Hagæ Comitum	2	Den Haag	115			
Halæ Saxonvm	2	Halle	252			
Hasseleti	2	Hasselt	260			
Herbornæ Nassoviorum	2	Herborn		6557785	Q18998	Check, also village in Luxembourg but CERL gives this for Latin name
Impressum Vitebergæ	2	Wittenberg	8910			
In Napoli	2	Naples	6043			
In libera Argentina	2	Strasbourg		2826178	Q6602	
Ingolstadij	2	Ingolstadt	4584			
Insvlis	2					
Leuven	2	Leuven	2			
Liège	2	Liege	392			
Lovanii & prostant Gandæ	2					2 places (leuven and Gent?)
Lugd. Batavorum	2	Leiden	5004			
Lutetiae	2	Paris	495			
Luxemburgi	2	Grand Duchy of Luxembourg	395			There are multiple options in the FM database. Check
Lvgd.	2	Leiden	5004			
Lvgduni	2	Leiden	5004			
Lvgdvni-Batavorvm	2	Leiden	5004			
Lyon	2	Lyon	5364			
Magontiaci	2	Mainz	5409			
Neap.	2					Naples?
New York	2	New York		5128581	Q60	
Norimbergae	2	Nurnberg		6556832	Q2090	
Parrisiis	2	Paris	495			Check?
Prostant Bruxellis	2	Brussels	116			
Prostant Leodii	2	Liege	392			
Ridgewood	2	Ridgewood				Ridgewood, N.J. In CERL so possible? Check
Stampate in Fiorenza	2	Florence	3184			
T'Antwerpen	2	Antwerp	26			
T'Hantwerpen	2	Antwerp	26			
Te Loeuen	2	Leuven	2			
Te Mechelen	2	Mechelen	409			
Thantwerpe[n]	2	Antwerp	26			
Tigvri	2	Zürich	9072			
Tot Antvverpen	2	Antwerp	26			
Tot Brvessel	2	Brussels	116			
Tot Delft	2	Delft	154			
Tot Dordrecht	2	Dordrecht	2713			
Tot Gend	2	Gent	225			
Tubingæ	2	Tübingen			Q3806	
VVitebergæ	2	Wittenberg	8910			
VVittenbergae	2	Wittenberg	8910			
Veronæ	2	Verona			Q2028	Could also be 8311 Véron. Check
Viennæ Austriæ	2	Vienna	8347			Check, not sure if this is Vienna or Vienne
Væneunt Antuerpiæ	2	Antwerp	26			
Vænundantur etiam Antuerpiæ	2	Antwerp	26			
Wittenbergae	2	Wittenberg	8910			
[Amsterdam]	2	Amsterdam	17			
[Barcelona]	2	Barcelona	1266			
[Frankfurt am Main]	2	Frankfurt am Main	3255			
[Heidelberg]	2	Heidelberg			Q2966	
[Lille?]	2	Lille	375			
et Bruxellis	2	Brussels	116			
& Antuerpiæ in pingui gallina	1	Antwerp	26			
& Bruxellis	1	Brussels	116			
't Amstelredam	1	Amsterdam	17			
A  Anvers	1	Antwerp	26			
A Amsterdam & a Paris	1					2 places
A Arras	1	Arras	1070			
A Bonn	1	Bonn	1762			
A Bordeaux	1	Bordeaux			Q1479	
A Leyden	1	Leiden	5004			
A Liége	1	Liege	392			
A Londres	1	London	5264			
A Louain	1	Leuven	2			
A Luxembourg	1	Grand Duchy of Luxembourg	395			There are multiple options in the FM database. Check
A Mons	1	Bergen	61			
A Rome	1	Rome	740			
A Strasbourg	1	Strasbourg		2826178	Q6602	
A Tournay	1					Not in FM but multiple possible check
A Tours	1	Tours	8047			
A Tovl	1					No idea
A Tovrs	1	Tours	8047			
A Utrech	1	Utrecht	635			
A vendre ... à Paris ...	1	Paris	495			
Amersfoort	1	Amersfoort	916			
Amstelaedami & Bredae	1					2 places
Amstelodami ac Lipsiæ	1					2 places
Amstelredami	1	Amsterdam	17			
Amsterdam	1	Amsterdam	17			
Antuerp.	1	Antwerp	26			
Antuerpiæ imprimebat	1	Antwerp	26			
Antvaerpiæ	1	Antwerp	26			
Antverpiae :	1	Antwerp	26			
Antverpiæ $bb in ædibus Guliel. Siluij	1	Antwerp	26			Check
Antverpæ	1	Antwerp	26			
Anvers	1	Antwerp	26			
Apud inclytam Brabantiæ Antuerpiam	1	Antwerp	26			
Apud insignem Brabantiæ Antuerpiam	1	Antwerp	26			
Apvd florentissimam Antverpiam	1	Antwerp	26			
Apvd inclytam Basileam	1	Basel	1297			
Aqvis-Sextiis	1	Aix-en-Provence			Q47465	
Argent.	1	Strasbourg		2826178	Q6602	Probably. Check
Argentoratum	1	Strasbourg		2826178	Q6602	
Arnhemii Gelrorvm	1	Arnhem	28			
At London	1	London	5264			
Augustæ Taurinorum	1	Turin		3165525	Q495	
Augustæ Vindel.	1	Augsburg	1137			
Augustæ Vindelicorum	1	Augsburg	1137			
Augustæ Vindelicorum et Oeniponti	1					2 places, Augsburg and Innsbruck
Augvstae Mvnatianae	1	Basel	1297			CERL has 'Coloniae Munatianae', check
Avgvstae Trevirorvm	1	Trier	8080			
Avgvstae Vindelicorvm	1	Augsburg	1137			
Avgvstæ Francorvm	1					Frankfurt maybe?
Avgvstæ Vindelicorvm	1	Augsburg	1137			
Avtverpiæ [!]	1	Antwerp	26			
Basilea	1	Basel	1297			
Basiliae	1	Basel	1297			
Bassani	1	Bassano del Grappa			Q47094	From CERL
Bergomi	1	Bermago			Q628	
Bononiæ	1	Bologna			Q1891	From CERL
Bouillon	1	Bouillon	1844			
Bruxellae	1	Brussels	116			
Brvnsvigæ	1	Brunswick	2008			
Brvxelles	1	Brussels	116			
