fm_id,type
5790,printed
5791,printed
5792,printed
5793,printed
5794,printed
5795,printed
5796,printed
5797,printed
5798,printed
5799,printed
5800,printed
5801,printed
5802,printed
5803,printed
5804,printed
5805,printed
5806,printed
5807,printed
5808,printed
5809,printed
5810,printed
5811,printed
5812,printed
5813,printed
5814,printed
5815,printed
5816,printed
5819,printed
5820,printed
5821,printed
5822,printed
5823,printed
5824,printed
5825,printed
5826,printed
5828,printed
5829,printed
5830,printed
5831,printed
5832,printed
5834,printed
5835,printed
5836,printed
5837,printed
5838,printed
5839,printed
5840,printed
5841,printed
5842,printed
5843,printed
5844,printed
5845,printed
5846,printed
5847,printed
5848,printed
5849,printed
5850,printed
5851,printed
5852,printed
5853,printed
5854,printed
5857,printed
5858,printed
5859,printed
5860,printed
5861,printed
5862,printed
5863,printed
5864,printed
5865,printed
5866,printed
5867,printed
5868,printed
5869,printed
5870,printed
5871,printed
5872,printed
5873,printed
5874,printed
5875,printed
5877,printed
5878,printed
5879,printed
5880,printed
5881,printed
5882,printed
5883,printed
5884,printed
5885,printed
5886,printed
5887,printed
5888,printed
5889,printed
5890,printed
5891,printed
5894,printed
5895,printed
5896,printed
5897,printed
5899,printed
5900,printed
5901,printed
5902,printed
5903,printed
5904,printed
5905,printed
5906,printed
5907,printed
5908,printed
5909,printed
5910,printed
5911,printed
5912,printed
5913,printed
5914,printed
5915,printed
5917,printed
5918,printed
5919,printed
5920,printed
5922,printed
5923,printed
5924,printed
5925,printed
5926,printed
5927,printed
5928,printed
5929,printed
5930,printed
5931,printed
5932,printed
5933,printed
5934,printed
5935,printed
5938,printed
5939,printed
5940,printed
5941,printed
5942,printed
5943,printed
5944,printed
5945,printed
5946,printed
5947,printed
5948,printed
5949,printed
5950,printed
5951,printed
5952,printed
5953,printed
5954,printed
5955,printed
5956,printed
5957,printed
5958,printed
5959,printed
5960,printed
5961,printed
5962,printed
5963,printed
5965,printed
5966,printed
5967,printed
5968,printed
5969,printed
5970,printed
5971,printed
5972,printed
5973,printed
5974,printed
5975,printed
5976,printed
5977,printed
5978,printed
5979,printed
5980,printed
5981,printed
5982,printed
5983,printed
5984,printed
5985,printed
5986,printed
5987,printed
5988,printed
