"RecordID";"name";"role"
"9918112670101488";"Maugré, Franciscus";"dedicatee"
"9918112670101488";"Vives, Juan Luis";"other"
"9918173200101488";"Godefroy, Denis";"writer of preface"
"9918208800101488";"Lipsius, Justus";"dedicatee"
"9918321310101488";"Grodecius, Joannes";"translator"
"9918321310101488";"von Logau, Kaspar";"dedicatee"
"9918327830101488";"Nannius, Petrus";"other"
"9918327830101488";"Rhenanus, Beatus";"other"
"9918334460101488";"Behourt, Joannes";"editor"
"9918339520101488";"Lipsius, Justus";"eulogist"
"9918339520101488";"Vrientius, Maximus Aemylianus";"eulogist"
"9918339620101488";"Scribani, Carolus";"other"
"9918339620101488";"Vrientius, Maximus Aemylianus";"other"
"9918340660101488";"Lipsius, Justus";"editor"
"9918340730101488";"Lipsius, Justus";"other"
"9918367480101488";"Puteanus, Justus Caecilius";"editor"
"9918367480101488";"Puteanus, Faustus Silvius";"editor"
"9918367480101488";"Vernulaeus, Nicolaus";"other"
"9918367480101488";"Tuldenus, Diodorus";"other"
"9918397480101488";"Albrecht";"dedicatee"
"9918397480101488";"Isabella Clara Eugenia";"dedicatee"
"9918397480101488";"Filips Willem";"dedicatee"
"9918397480101488";"Bauhusius, Bernardus";"author"
"9918397480101488";"Beyerlinck, Laurentius";"censor"
"9918397480101488";"de Witte";"approbation"
"9918428340101488";"Albrecht";"dedicatee"
"9918428340101488";"Lipsius, Justus";"other"
"9918456290101488";"Gaultier, Léonard";"other"
"9918458460101488";"Lupus, Christianus";"editor"
"9918458460101488";"de' Medici, Cosimo";"dedicatee"
"9918495030101488";"de Haseler, Joannes";"other"
"9918567050101488";"De Smet, Josephus";"dissertant"
"9918567050101488";"Helaut, Gregorius";"dissertant"
"9918567050101488";"Libens, Joannes";"praeses"
"9918572020101488";"Libens, Joannes";"praeses"
"9918650990101488";"Jongelinus, Gaspar";"editor"
"9918678690101488";"Giacomelli, Michel Angelo";"translator"
"9918683050101488";"Alexander";"author"
"9918683050101488";"Henry";"author"
"9918683050101488";"Louis";"author"
"9918683050101488";"Thomas Becket";"author"
"9918683050101488";"Lupus, Christianus";"editor"
"9918683050101488";"Howard, Philip Thomas";"dedicatee"
"9918683050101488";"Wynants, Guilielmus";"contributor"
"9918683050101488";"Gregorius";"contributor"
"9918696860101488";"Viglius Zuichemus ab Aytta";"dedicatee"
"9918723240101488";"De Coster, Hendrik";"eulogist"
"9918790490101488";"Van Branteghem, Joannes";"dissertant"
"9918790490101488";"Sassenus, Jacobus";"dissertant"
"9918790490101488";"Libens, Joannes";"praeses"
"9918875930101488";"Damen, Hermannus";"other"
"9918918420101488";"Clemens";"other"
"9918920530101488";"Fabricius, Gulielmus";"editor"
"9918954240101488";"van der Heyden, Jodocus";"translator"
"9919035310101488";"van der Heyden, Jodocus";"translator"
"9919050510101488";"Hoynck van Papendrecht, Cornelius Paulus";"addressee"
"9919134590101488";"à Lancken, Aegidius";"author"
"9919134590101488";"Alstedius, Johannes Henricus";"author"
"9919134590101488";"Bernegger, Matthias";"author"
"9919134590101488";"Bosius, Johannes Andreas";"author"
"9919134590101488";"Camerarius, Joachim";"author"
"9919134590101488";"Caselius, Johannes";"author"
"9919134590101488";"Clapmarius, Arnoldus";"author"
"9919134590101488";"Colerus, Christophorus";"author"
"9919134590101488";"Crusius, Thomas Theodor";"editor"
"9919134590101488";"Fungerus, Joannes";"author"
"9919134590101488";"Hannielus, Ignatius";"author"
"9919134590101488";"Lipsius, Justus";"author"
"9919134590101488";"Naudé, Gabriel";"author"
"9919134590101488";"Ranzovius, Heinricus";"author"
"9919134590101488";"Richter, Georg";"author"
"9919134590101488";"Thomasonus, Lucas Antonius";"author"
"9919169000101488";"Musius, Cornelius";"other"
"9919205790101488";"de Robiano, Balthazar";"dedicatee"
"9919263290101488";"Novimola, Sebastianus";"editor"
"9919263380101488";"Novimola, Sebastianus";"editor"
"9919263530101488";"Monheim, Joannes";"editor"
"9919279540101488";"Cardon, Antoine Alexandre Joseph";"engraver"
"9919279540101488";"Maria Theresia";"honoree"
"991415230101488";"van Gutshoven, Gerard";"contributor"
"991415230101488";"Noulantius, Henricus";"eulogist"
"991415230101488";"Dupont, Jacques";"approbation"
"991449780101488";"Rudolf";"approbation"
"991449780101488";"Felipe";"approbation"
"991449780101488";"Henri";"approbation"
"991449780101488";"Albrecht";"approbation"
"991449780101488";"Borromeo, Federico";"dedicatee"
"991449780101488";"Fabricius, Gulielmus";"approbation"
"991449780101488";"Kurtz von Senftenau, Jakob";"approbation"
"991449780101488";"Barwitz, Johann Anton";"approbation"
"991449780101488";"Verreycken";"approbation"
"991449780101488";"Perrochel";"approbation"
"991449780101488";"de Grimaldi, S.";"approbation"
"991449780101488";"de Busschere, I.";"approbation"
"991449860101488";"Frangipani, Ottavio Mirto";"dedicatee"
"991449860101488";"Fabricius, Gulielmus";"approbation"
"991451260101488";"Demetrius Phalereus";"contributor"
"991451260101488";"van Ravelingen, Frans";"dedicatee"
"991452220101488";"Numai, Antonio";"translator"
"991453340101488";"Velleius Paterculus";"contributor"
"991453340101488";"Maximilian";"dedicatee"
"991453340101488";"Rudolf";"approbation"
"991453340101488";"Felipe";"approbation"
"991453340101488";"Lipsius, Justus";"editor"
"991453340101488";"Quintilianus, Marcus Fabius";"contributor"
"991453340101488";"van Leeuwen, Dirk";"dedicatee"
"991453340101488";"Wilhelm, Johann";"eulogist"
"991453340101488";"Van Der Does, Johan";"eulogist"
"991453340101488";"van Dale, Nicolaus";"contributor"
"991453340101488";"Fabricius, Gulielmus";"approbation"
"991453340101488";"Kurtz von Senftenau, Jakob";"approbation"
"991453340101488";"Barwitz, Johann Anton";"approbation"
"991453340101488";"Verreycken, Lodewijk";"approbation"
"991453750101488";"von Eyben, Hulderich";"editor"
"991455970101488";"Flacius, Matthias";"other"
"991456540101488";"Felipe";"approbation"
"991456540101488";"Vermost, Daniël";"contributor"
"991456540101488";"de Coninck, Petrus Damasus";"contributor"
"991456540101488";"Fromondus, Libertus";"contributor"
"991456540101488";"Lupus, Christianus";"contributor"
"991456540101488";"Rivius, Joannes";"contributor"
"991456540101488";"Noulantius, Henricus";"eulogist"
"991456540101488";"Xylander, Petrus";"eulogist"
"991456540101488";"Roose, Pieter";"dedicatee"
"991456540101488";"Dupont, Jacques";"censor"
"991459440101488";"Van Campenhoudt, Jean Jacques";"illustrator"
"991459610101488";"Becker, Carolus Hubertus";"engraver"
"991460560101488";"Guillonius, Renatus";"editor"
"991460790101488";"Sylvius, Dominicus";"translator"
"991462130101488";"Boonen, Jacobus";"dedicatee"
"991549970101488";"Villain, Maximilien";"dedicatee"
"991587690101488";"Everaert, Marten.";"contributor"
"991588410101488";"Van de Velde, Jan Frans";"editor"
"991598680101488";"Galle, Cornelius";"engraver"
