"descriptor","Place_ID","place_standard"
"ab Angia","175","Enghien"
"ab Anthinne","983","Antene"
"ab Antverpia","26","Antwerp"
"ab Antwerpia","26","Antwerp"
"ab Anuwerpia","26","Antwerp"
"ab Aquisgrano","11","Aken"
"ab Arendonck","1037","Arendonk"
"ab Aria","834","Aire"
"ab Armenteria","1055","Armentiers"
"ab Ascha","29","Asse"
"ab Aschaffenburch","1085","Aschaffenburg"
"ab Asperen","1092","Asperen"
"ab Assendelft","1100","Assendelft"
"ab Atho","8","Aat"
"ab Atra Palude","0",""
"ab Atrebato","33","Atrecht"
"ab Attrebato","33","Atrecht"
"ab Audenwater","6526","Oudewater"
"ab Audwaeter","6526","Oudewater"
"ab Augusta Vindelicorum","1137","Augsburg"
"ab Auwater","6526","Oudewater"
"ab Avesnis","1169","Avesnes"
"ab Axella","1180","Axel"
"ab Eicka","2859","Eik"
"ab Ekeren","2867","Ekeren"
"ab Elderen","7203","'s Herenelderen"
"ab Elissim","4266","Heylissem"
"ab Elzelia","186","Elzele"
"ab Enchusia","2948","Enkhuizen"
"ab Encout","2935","Encout"
"ab Encusia","2948","Enkhuizen"
"ab Endovia","180","Eindhoven"
"ab Erp","191","Erpe"
"ab Erupema","3003","Erupema"
"ab Esnu","3017","Esnu"
"ab Evenstem","0",""
"ab Franekara","206","Franeker"
"ab Haer","2570","De Haar"
"ab Haestricht","3779","Haastrecht"
"ab Hallerstin","3823","Hallerstin"
"ab Hannia Sancti Petri","3803","Haine-Saint-Pierre"
"ab Hannuto","257","Hannuit"
"ab Hansdorp","3888","Hansdorp"
"ab Hantwerpia","26","Antwerp"
"ab Hapert","3905","Happart"
"ab Harlem","250","Haarlem"
"ab Hassel","260","Hasselt"
"ab Hasselbrouck","3964","Hasselbroek"
"ab Hassele","260","Hasselt"
"ab Hasselt","260","Hasselt"
"ab Hattem","3972","Hattem"
"ab Hecks","269","Heks"
"ab Helfort","4127","Helvoirt"
"ab Hemert","4132","Hemert"
"ab Herck","4183","Herk"
"ab Herct","4173","Herct"
"ab Herderen","4174","Herderen"
"ab Herentals","277","Herentals"
"ab Herentaut","278","Herenthout"
"ab Herenthout","278","Herenthout"
"ab Hochstraet","295","Hoogstraten"
"ab Hochstraten","295","Hoogstraten"
"ab Holshusen","4361","Holthusen"
"ab Hondiscota","4374","Hondschoote"
"ab Horchten","4403","Horchten"
"ab Horsbeck","4420","Horsbeck"
"ab Housem","4458","Housem"
"ab Hove","300","Hove"
"ab Huesden","285","Heusden"
"ab Hugardis","4318","Hoegaarden"
"ab Hulst","304","Hulst"
"ab Huo","292","Hoei"
"ab Ile","2902","Elst"
"ab Inckevoert","4579","Inckevoert"
"ab Insulis","529","Rijsel"
"ab Insulis Liliensis","375","Lille"
"ab Ipris","306","Ieper"
"ab Isca","6556","Overijse of Neerijse check"
"ab Oberstein","6275","Oberstein"
"ab Ochamps","6283","Ochamps"
"ab Ocken","6286","Ocken"
"ab Oerschot","469","Oirschot"
"ab Oesterhoudt","5999","multipel check"
"ab Oestrewyck","0",""
"ab Ois","485","Oss"
"ab Olbert","8005","Tolbert check"
"ab Oorschot","469","Oirschot"
"ab Oosterwijck","6397","Oosterwijk"
"ab Orschot","469","Oirschot"
"ab Ottelant","6503","Ottoland"
"ab Oudenaarde","490","Oudenaarde"
"ab Oudenburch","6519","Oudenburg"
"ab Overijssche","730","Overijse"
"ab Overwinde","6568","Overwinden"
"ab Overysche","730","Overijse"
"ab Ulmen","8146","Ulm"
"ab Wavria","678","Waver"
"ab Yerssel","8982","Yerssel"
"ab Ypris","2963","eper"
"ab Ysendoren","4565","Ijzendoorn"
"ab Yttere Inferiori","6083","Neeritter"
"Abbatia Cambronensi","2120","Cambron-Saint-Vincent"
"Abbatiae Bellingensis","1426","Bellingen"
"abbatiae Sancti Laurentii","7526","Sint-Laurentiusabdij"
"Abblaterdamensis","770","Abblaterdamensis"
"Abcoudanus","777","Abkoude"
"Abcoundanus","777","Abkoude"
"Abdoncanus","773","Abdoncanus"
"Abeanus","774","Abeanus"
"Abensis","775","Abensis"
"Aberdonensis","776","Aberdeen"
"Aberdoniensis","776","Aberdeen"
"Abolensis","778","Abolens"
"Aboliensis","778","Abolens"
"Abordonensis","0",""
"Abreciniensis","779","Abreciniensis"
"Abremensis","780","Abremensis"
"Abremiensis","781","Abremiensis"
"Abreniensis","782","Abreniensis"
"Abridonensis","783","Abridonensis"
"Abrive","784","Abrive"
"Abusiacus","3302","Füssen"
"Accellanus","1180","Axel"
"Acchel","10","Achel"
"Acciniensis","785","Acciniensis"
"Accren","160","Deux-Acren"
"Accriniensis","160","Deux-Acren"
"Acesianus","786","Acesianus"
"Acghendensis","9","Acghendensis"
"Achaine","787","Achêne"
"Achel","10","Achel"
"Achelen","10","Achel"
"Achelensis","10","Achel"
"Achensis","788","Achensis"
"Achranensis","790","Achranensis"
"Ackensis","791","Ackensis"
"Ackeren","160","Deux-Acren"
"Ackerslotanus","838","Akersloot"
"Ackianus","792","Ackianus"
"Acklen","10","Achel"
"Aclensis","793","Aclensis"
"Acoensis","794","Acoensis"
"Acomiensis","795","Acomiensis"
"Acos","796","Acosse"
"Acrene","160","Deux-Acren"
"Acrene Sancti Gerconis","160","Deux-Acren"
"Acrene Sancti Martini","160","Deux-Acren"
"Acreniensis","160","Deux-Acren"
"Acrenne","160","Deux-Acren"
"Acrenne majori","160","Deux-Acren"
"Acrenne Sancti Martini","160","Deux-Acren"
"Acrinensis","160","Deux-Acren"
"Acrinia","160","Deux-Acren"
"Acrinienses","160","Deux-Acren"
"Acriniensis","160","Deux-Acren"
"Acrinnensis","160","Deux-Acren"
"Acrniensis","160","Deux-Acren"
"Acrom","839","Akkrum"
"ad Anniam","0",""
"ad Antwerpiam","26","Antwerp"
"ad Episcopum Audomeropolitanum qua talem et praepositum Watenensem simul","0",""
"ad Gandam","225","Gent"
"ad Haniam","0",""
"ad Leodium","392","Liège"
"ad provinciam Limburgensem","377","Limburg"
"ad Sabim","0",""
"ad Schaldim","7349","Schelde"
"ad Slechten","7568","Slechten"
"ad Tornacum","168","Doornik"
"ad Trajectum","0",""
"ad Walcuriam","8595","Walcourt"
"Ada","798","Ade"
"Adegelij","799","Adegelij"
"Adeghem","800","Adegem"
"Adelgem","800","Adegem"
"Aden","801","Aden-Wetering"
"Adenhout","632","Udenhout"
"Adighen","800","Adegem"
"Admertanensis","802","Admertanensis"
"Adorp","803","Adorp"
"Adorscitanus","805","Adorscitanus"
"Advennas","1169","Avesnes"
"Advortensius","806","Advortensius"
"Aecren","840","Akren"
"Aectensis","7910","Theux check"
"Aelbeeck","4","Aalbeke"
"Aelbeke","4","Aalbeke"
"Aeldriensis","807","Aeldriensis"
"Aelensis","808","Aelensis"
"Aelst","5","Aalst"
"Aeltere","6","Aalter"
"Aelteren","6","Aalter"
"Aelteres","6","Aalter"
"Aeltert","6","Aalter"
"Aeltre","6","Aalter"
"Aercen","817","Aerzen"
"Aercensis","811","Aercensis"
"Aerd","812","Aerd"
"Aerde","759","Aarde"
"Aere","813","Aere"
"Aeriensis","834","Aire"
"Aerle","814","Aerle"
"Aerle Rixtel","763","Aarle-Rixtel"
"Aerlebecanus","258","Harelbeke"
"Aerlebeek","258","Harelbeke"
"Aerlebeeke","258","Harelbeke"
"Aerlerixtel","763","Aarle-Rixtel"
"Aernemensis","28","Arnhem"
"Aerniche","965","Aniche"
"Aerschotanus","7","Aarschot"
"Aerschotensis","7","Aarschot"
"Aerschottensis","7","Aarschot"
"Aerscotensis","7","Aarschot"
"Aersscottensis","7","Aarschot"
"Aerth","815","Aerth"
"Aertselaer","767","Aartselaar"
"Aertselaere","767","Aartselaar"
"Aerzeele","766","Aarsele"
"Aesdonck","3778","Haasdonk"
"Aesopianus","818","Aesopianus"
"Aesten","1104","Asten"
"Aethensis","8","Aat"
"Aeyst","268","Heist-op-den-Berg"
"Afensis","1156","Ave-et-Auffe"
"Afferdiensis","819","Afferden"
"Affleghem","820","Affligem"
"Affligem","820","Affligem"
"Affligemensis","820","Affligem"
"Affligemiensis","820","Affligem"
"Affligen","820","Affligem"
"Affliginensis","820","Affligem"
"Affne","822","Afsnee"
"Afleghem","820","Affligem"
"Afniensis","821","Afniensis"
"Afro Treverensi","8078","Trevieren"
"Afschaffenburgensis","1085","Aschaffenburg"
"Agecomitanus","155","Den Haag"
"Aggere","824","Agger"
"Aggher","825","Aggere"
"Agimont","826","Agimont"
"Aginnensis","827","Aginnensis"
"Agrippinas","737","Cologne"
"Agro Gruningensi","245","Groningen"
"Agro Herendalensi","277","Herentals"
"Agro Nivellensi","457","Nijvel"
"Agrunestein","828","Agrunestein"
"Agualiensis","829","Agualiensis"
"Aguensis","830","Aguensis"
"Ahtensis","8","Aat"
"Aijcuriensis","832","Aijcuriensis"
"Aije","1183","Aye"
"Aijghem","753","Aaigem"
"Aijseau","836","Aiseau"
"Aijseaux","836","Aiseau"
"Aijwaille","36","Aywaille"
"Ailmarensis","833","Ailmarensis"
"Airiensis","834","Aire"
"Airsschottensis","7","Aarschot"
"Aische","835","Aische-en-Refail"
"Aiseau","836","Aiseau"
"Aispanus","0",""
"Aixfeltdinus","837","Aixfeltdinus"
"Akendover","3806","Hakendover"
"Akerslotanus","838","Akersloot"
"al. Annapygi","0",""
"Alardi","842","Alardi"
"Albecanus","754","Aalbeek"
"Albergen","843","Albergen"
"Albimontanus","2240","Chastre-Villeroux-Blanmont"
"Albimontensis","1654","Blanmont"
"Albinensis","844","Albinen"
"Albiripiensis","845","Albiripiensis"
"Alblacensis","846","Alblasserdam"
"Alblassenus","846","Alblasserdam"
"Alblasserdaus","846","Alblasserdam"
"Alcamarianus","865","Alkmaar"
"Alchmarensis","865","Alkmaar"
"Alchmarianus","865","Alkmaar"
"Alchmariensis","865","Alkmaar"
"Alcken","864","Alken"
"Alckensis","864","Alken"
"Alckiensis","864","Alken"
"Alckmardensis","865","Alkmaar"
"Alckmarianus","865","Alkmaar"
"Alckmariensis","865","Alkmaar"
"Alcmarensis","865","Alkmaar"
"Alcmaria","865","Alkmaar"
"Alcmarianus","865","Alkmaar"
"Alcmarie","865","Alkmaar"
"Alcmariensis","865","Alkmaar"
"Alcmerianus","865","Alkmaar"
"Aldanensis","848","Aldanensis"
"Aldegundensis","849","Aldegundensis"
"Aldekerka","6332","Oldekerk"
"Aldelargensis","490","Oudenaarde"
"Alden","755","Aalden"
"Alden Biesen","850","Alden Biesen"
"Aldenaedensis","490","Oudenaarde"
"Aldenaerdensis","490","Oudenaarde"
"Aldenaerensis","490","Oudenaarde"
"Aldenarden","490","Oudenaarde"
"Aldenardensis","490","Oudenaarde"
"Aldenardiensis","490","Oudenaarde"
"Aldenardo","490","Oudenaarde"
"Aldenarensis","490","Oudenaarde"
"Aldenbiessen","850","Alden Biesen"
"Aldenbize","850","Alden Biesen"
"Aldenbrissen","850","Alden Biesen"
"Aldensardensis","490","Oudenaarde"
"Aldensis","490","Oudenaarde"
"Alderheijlige Swalm","0",""
"Alderhyligen","852","Alderhyligen"
"Alderlucensis","854","Alderlucensis"
"Aldernacensis","490","Oudenaarde"
"Aldernadensis","490","Oudenaarde"
"Aldernardensis","490","Oudenaarde"
"Aldernardinus","490","Oudenaarde"
"Aldernardus","490","Oudenaarde"
"Aldernensis","490","Oudenaarde"
"Aldinardensis","490","Oudenaarde"
"Aldynsis","855","Aldynsis"
"Alecensis","856","Alecensis"
"Alen","251","Halen"
"Alenchenensis","858","Alenchenensis"
"Alfen","879","Alphen"
"Alfensis","879","Alphen"
"Alffven","879","Alphen"
"Algoius","867","Allgäu"
"alias Fleruco","3173","Fleurus"
"Aliensis","861","Aliensis"
"Alientensis","862","Alientensis"
"Aliniensis","863","Aliniensis"
"Alken","864","Alken"
"Alkensis","864","Alken"
"Alletensis","866","Alletensis"
"Allignies","6341","Ollignies"
"Alliniensis","868","Alliniensis"
"Allodiensis","178","Eigenbrakel"
"Allodii Braniensis","178","Eigenbrakel"
"Allodij Braniensis","178","Eigenbrakel"
"Allostensis","5","Aalst"
"Alloudi Braniensis","178","Eigenbrakel"
"Allunensis","869","Allunensis"
"Almanus","870","Almanus"
"Almarianus","865","Alkmaar"
"Almariensis","865","Alkmaar"
"Almensis","871","Almen"
"Almorvensis","874","Almorvensis"
